254,471
127,827
408,355
320,495
248,023
224,912
454,215
254,471
216,907
797,625
630,353
187,669
81,611
283,249
151,510
407,894
196,500
226,102
296,820
365,900
126,088
158,173
169,318
356,992
51,532
138,940
314,192
224,766
55,899
327,767
375,336
227,862
355,137
286,741
133,996
229,314
427,580
379,884
470,073
270,690
151,080
184,742
484,803
130,809
184,106
385,105
83,235
195,657
540,524
343,168
377,468
763,058
114,196
93,829
288,558
527,206
684,171
318,457
208,721
246,932
135,059
212,001
65,072
477,487
379,101
419,181
388,731
122,364
192,424
107,282
92,051
505,159
204,648
393,696
208,338
131,101
200,346
220,188
545,344
298,215
35,334
185,448
436,563
162,680
216,152
249,612
341,692
203,306
158,911
79,628
127,991
395,609
211,190
336,126
283,753
105,021
425,369
102,970
366,031
340,316
89,407
86,036
180,528
156,250
348,980
26,259
203,683
102,179
190,516
235,647
250,733
124,482
87,931
321,424
190,797
86,592
474,056
108,435
442,976
314,681
536,392
220,930
255,227
135,591
472,480
679,953
117,465
59,920
187,104
251,009
218,439
434,825
221,110
172,535
495,711
213,867
511,496
74,011
206,166
76,462
47,675
291,177
134,872
199,115
530,996
20,670
284,267
82,119
376,285
89,209
422,974
186,375
275,590
279,711
256,578
339,848
91,163
371,572
165,735
431,848
518,502
597,675
70,562
161,712
365,928
377,458
244,570
380,533
119,775
218,240
354,804
200,414
214,708
128,247
205,957
321,526
288,739
235,362
536,035
228,256
215,517
172,971
298,657
157,534
84,032
188,718
116,604
134,946
435,114
177,728
134,989
726,698
37,718
110,916
416,938
463,395
445,648
90,023
111,845
162,310
234,846
66,950
177,537
239,542
291,726
186,394
392,716
310,440
79,841
119,339
367,233
486,358
256,055
285,083
241,714
193,870
523,791
315,020
865,333
194,594
387,396
271,627
480,384
451,210
332,091
512,849
122,970
480,007
330,102
459,817
184,612
346,988
460,733
467,985
77,622
119,588
309,062
184,827
371,437
200,060
208,776
292,370
264,269
429,077
867,776
130,817
184,549
142,399
291,264
179,838
79,014
424,139
210,278
334,751
518,776
61,398
281,618
290,775
620,766
277,169
130,534
224,691
91,293
489,837
171,938
127,741
662,811
313,046
310,214
92,858
124,302
323,140
149,180
80,646
454,992
332,401
98,891
701,760
271,814
612,456
572,585
56,084
329,440
365,646
126,826
294,080
1175,257
194,396
484,625
81,821
216,830
166,163
119,945
166,848
776,857
268,293
100,900
132,237
355,012
287,475
218,619
